title,year,release_date,vote_average,vote_count,revenue,budget,runtime
The Shawshank Redemption,1994,1994-09-23,8.712,28541,28341469,25000000,142
The Godfather,1972,1972-03-14,8.688,21620,245066411,6000000,175
KPop Demon Hunters,2025,2025-06-20,8.618,600,0,0,96
The Godfather Part II,1974,1974-12-20,8.571,13054,102600000,13000000,202
Schindler's List,1993,1993-12-15,8.565,16534,321365567,22000000,195
12 Angry Men,1957,1957-04-10,8.549,9244,4360000,397751,97
Spirited Away,2001,2001-07-20,8.537,17279,274925095,19000000,125
The Dark Knight,2008,2008-07-16,8.522,34062,1004558444,185000000,152
Dilwale Dulhania Le Jayenge,1995,1995-10-20,8.518,4496,100000000,13200000,190
The Green Mile,1999,1999-12-10,8.504,18201,286801374,60000000,189
Parasite,2019,2019-05-30,8.499,19238,257591776,11363000,133
Pulp Fiction,1994,1994-09-10,8.489,28845,213928762,8000000,154
The Lord of the Rings: The Return of the King,2003,2003-12-17,8.488,25245,1118888979,94000000,201
Your Name.,2016,2016-08-26,8.483,11854,358000000,0,106
Forrest Gump,1994,1994-06-23,8.468,28379,677387716,55000000,142
"The Good, the Bad and the Ugly",1966,1966-12-22,8.465,9072,38900000,1200000,161
Interstellar,2014,2014-11-05,8.456,37421,746606706,165000000,169
GoodFellas,1990,1990-09-12,8.455,13476,46800000,25000000,145
Seven Samurai,1954,1954-04-26,8.455,3936,105000000,2000000,207
Grave of the Fireflies,1988,1988-04-16,8.45,5954,516962,3700000,89
Life Is Beautiful,1997,1997-12-20,8.445,13434,230098753,20000000,116
Cinema Paradiso,1988,1988-11-17,8.436,4557,11990401,5000000,124
Fight Club,1999,1999-10-15,8.437,30468,100853753,63000000,139
City of God,2002,2002-08-30,8.431,7714,30641770,3300000,129
Impossible Things,2021,2021-06-17,8.43,410,0,0,88
A Dog's Will,2000,2000-09-15,8.425,1171,4903192,0,104
Harakiri,1962,1962-09-15,8.424,1096,0,0,135
The Lord of the Rings: The Fellowship of the Ring,2001,2001-12-18,8.423,26143,871368364,93000000,179
Psycho,1960,1960-06-22,8.4,10427,50048065,806947,109
One Flew Over the Cuckoo's Nest,1975,1975-11-19,8.413,10841,108981275,3000000,133
Gabriel's Inferno,2020,2020-05-29,8.412,2427,0,0,122
Once Upon a Time in America,1984,1984-05-23,8.411,5656,5500000,30000000,229
The Lord of the Rings: The Two Towers,2002,2002-12-18,8.408,22720,926287400,79000000,179
Spider-Man: Into the Spider-Verse,2018,2018-12-06,8.4,16251,384298736,90000000,117
Howl's Moving Castle,2004,2004-09-09,8.397,10397,236049757,24000000,119
Hope,2013,2013-10-02,8.398,791,0,0,122
The Empire Strikes Back,1980,1980-05-20,8.396,17523,538400000,18000000,124
A Silent Voice: The Movie,2016,2016-09-17,8.4,4162,30819442,0,129
The Pianist,2002,2002-09-17,8.379,9583,120098945,35000000,150
Gabriel's Inferno: Part II,2020,2020-07-31,8.379,1527,0,0,106
Whiplash,2014,2014-10-10,8.377,15757,50307484,3300000,107
Lucy Shimmers and the Prince of Peace,2020,2020-10-19,8.4,315,0,0,87
Primal: Tales of Savagery,2019,2019-11-21,8.376,339,0,0,85
Se7en,1995,1995-09-22,8.376,21855,327311859,33000000,127
